0,1.3
1,3.1
2,5.2
3,8.2
4,10.2
5,13.0
6,17.2
7,14.1
8,14.4
9,11.3
10,6.6
11,3.9
12,3.9
13,5.4
14,7.2
15,10.6
16,13.8
17,16.1
18,16.5
19,17.0
20,11.5
21,9.3
22,5.3
23,2.9
24,3.4
25,4.7
26,6.6
27,9.4
28,11.7
29,14.7
30,16.3
31,15.7
32,13.5
33,10.2
34,6.9
35,4.1
36,1.9
37,3.7
38,6.1
39,8.3
40,11.2
41,12.7
42,15.0
43,16.2
44,13.0
45,9.4
46,6.4
47,3.4
48,2.6
49,3.7
50,6.7
51,10.1
52,11.5
53,13.9
54,18.0
55,17.0
56,12.4
57,9.2
58,7.0
59,1.7
60,2.5
61,3.6
62,6.8
63,11.1
64,14.0
65,15.0
66,16.3
67,17.6
68,16.0
69,9.8
70,5.9
71,3.9
72,3.2
73,2.1
74,6.9
75,9.0
76,11.7
77,14.7
78,15.2
79,16.2
80,13.3
81,10.1
82,6.7
83,3.0
84,4.2
85,4.4
86,5.8
87,8.9
88,11.3
89,13.7
90,18.3
91,18.6
92,14.8
93,11.3
94,7.4
95,4.4
96,5.4
97,5.4
98,8.0
99,10.6
100,11.5
101,14.9
102,17.2
103,15.6
104,12.7
105,12.0
106,8.8
107,5.4
108,4.4
109,4.7
110,7.6
111,9.3
112,11.9
113,15.5
114,19.2
115,18.0
116,14.9
117,10.3
118,8.1
119,5.5
120,4.1
121,6.1
122,7.9
123,10.8
124,12.5
125,15.1
126,16.3
127,15.3
128,14.9
129,10.8
130,7.1
131,3.6
