Reference;Type;Clast size (mm);Slope (tan);Clast size ();Slope (deg)
McLachlan2005;Beach;0,55;0,046;0,865;2,63
McLachlan2005;Beach;0,49;0,058;1,023;3,31
McLachlan2005;Beach;0,35;0,103;1,522;5,9
McLachlan2005;Beach;0,36;0,091;1,474;5,22
McLachlan2005;Beach;0,22;0,118;2,155;6,73
McLachlan2005;Beach;0,25;0,101;2,021;5,76
McLachlan2005;Beach;0,27;0,096;1,886;5,47
McLachlan2005;Beach;0,34;0,085;1,561;4,86
McLachlan2005;Beach;0,35;0,076;1,525;4,35
McLachlan2005;Beach;0,36;0,068;1,488;3,89
McLachlan2005;Beach;0,36;0,063;1,465;3,62
McLachlan2005;Beach;0,43;0,057;1,22;3,25
McLachlan2005;Beach;0,47;0,055;1,099;3,14
McLachlan2005;Beach;0,4;0,056;1,339;3,18
McLachlan2005;Beach;0,37;0,053;1,426;3,05
McLachlan2005;Beach;0,4;0,041;1,316;2,35
McLachlan2005;Beach;0,34;0,047;1,557;2,71
McLachlan2005;Beach;0,3;0,082;1,736;4,72
McLachlan2005;Beach;0,3;0,075;1,723;4,3
McLachlan2005;Beach;0,31;0,069;1,693;3,92
McLachlan2005;Beach;0,29;0,07;1,776;4
McLachlan2005;Beach;0,32;0,062;1,646;3,58
McLachlan2005;Beach;0,2;0,102;2,311;5,84
McLachlan2005;Beach;0,16;0,118;2,66;6,71
McLachlan2005;Beach;0,23;0,081;2,126;4,63
McLachlan2005;Beach;0,2;0,075;2,311;4,28
McLachlan2005;Beach;0,25;0,072;1,995;4,11
McLachlan2005;Beach;0,25;0,069;1,982;3,95
McLachlan2005;Beach;0,26;0,066;1,969;3,8
McLachlan2005;Beach;0,28;0,063;1,861;3,62
McLachlan2005;Beach;0,24;0,06;2,055;3,43
McLachlan2005;Beach;0,28;0,056;1,811;3,18
McLachlan2005;Beach;0,27;0,054;1,884;3,07
McLachlan2005;Beach;0,21;0,055;2,22;3,15
McLachlan2005;Beach;0,24;0,049;2,076;2,83
McLachlan2005;Beach;0,28;0,048;1,862;2,73
McLachlan2005;Beach;0,28;0,043;1,838;2,46
McLachlan2005;Beach;0,3;0,041;1,739;2,36
McLachlan2005;Beach;0,33;0,039;1,6;2,21
McLachlan2005;Beach;0,29;0,039;1,806;2,23
McLachlan2005;Beach;0,27;0,039;1,897;2,22
McLachlan2005;Beach;0,26;0,043;1,931;2,47
McLachlan2005;Beach;0,22;0,046;2,155;2,64
McLachlan2005;Beach;0,25;0,042;2,013;2,39
McLachlan2005;Beach;0,25;0,039;1,999;2,23
McLachlan2005;Beach;0,23;0,041;2,102;2,36
McLachlan2005;Beach;0,23;0,039;2,102;2,24
McLachlan2005;Beach;0,26;0,034;1,956;1,95
McLachlan2005;Beach;0,3;0,032;1,738;1,86
McLachlan2005;Beach;0,33;0,029;1,597;1,64
McLachlan2005;Beach;0,36;0,029;1,489;1,65
McLachlan2005;Beach;0,42;0,026;1,265;1,46
McLachlan2005;Beach;0,16;0,069;2,688;3,92
McLachlan2005;Beach;0,11;0,077;3,231;4,4
McLachlan2005;Beach;0,13;0,064;2,96;3,66
McLachlan2005;Beach;0,14;0,055;2,818;3,14
McLachlan2005;Beach;0,14;0,05;2,788;2,87
McLachlan2005;Beach;0,16;0,055;2,617;3,15
McLachlan2005;Beach;0,19;0,054;2,398;3,07
McLachlan2005;Beach;0,19;0,049;2,375;2,79
McLachlan2005;Beach;0,2;0,044;2,345;2,55
McLachlan2005;Beach;0,2;0,039;2,305;2,25
McLachlan2005;Beach;0,17;0,045;2,549;2,55
McLachlan2005;Beach;0,16;0,043;2,638;2,47
McLachlan2005;Beach;0,19;0,042;2,425;2,38
McLachlan2005;Beach;0,21;0,034;2,258;1,94
McLachlan2005;Beach;0,23;0,032;2,134;1,81
McLachlan2005;Beach;0,24;0,032;2,038;1,84
McLachlan2005;Beach;0,27;0,029;1,892;1,69
McLachlan2005;Beach;0,28;0,03;1,815;1,73
McLachlan2005;Beach;0,29;0,027;1,779;1,54
McLachlan2005;Beach;0,32;0,024;1,646;1,4
McLachlan2005;Beach;0,34;0,023;1,539;1,31
McLachlan2005;Beach;0,38;0,021;1,408;1,22
McLachlan2005;Beach;0,33;0,022;1,614;1,27
McLachlan2005;Beach;0,29;0,024;1,764;1,4
McLachlan2005;Beach;0,27;0,026;1,878;1,5
McLachlan2005;Beach;0,28;0,023;1,84;1,33
McLachlan2005;Beach;0,31;0,02;1,681;1,14
McLachlan2005;Beach;0,44;0,016;1,192;0,9
McLachlan2005;Beach;0,14;0,043;2,847;2,45
McLachlan2005;Beach;0,15;0,037;2,694;2,14
McLachlan2005;Beach;0,17;0,034;2,549;1,97
McLachlan2005;Beach;0,19;0,031;2,418;1,8
McLachlan2005;Beach;0,2;0,03;2,312;1,73
McLachlan2005;Beach;0,19;0,03;2,42;1,72
McLachlan2005;Beach;0,1;0,038;3,31;2,2
McLachlan2005;Beach;0,15;0,035;2,778;1,98
McLachlan2005;Beach;0,16;0,032;2,647;1,85
McLachlan2005;Beach;0,15;0,032;2,707;1,81
McLachlan2005;Beach;0,16;0,029;2,622;1,67
McLachlan2005;Beach;0,18;0,026;2,453;1,51
McLachlan2005;Beach;0,19;0,026;2,371;1,48
McLachlan2005;Beach;0,21;0,025;2,256;1,41
McLachlan2005;Beach;0,22;0,026;2,17;1,48
McLachlan2005;Beach;0,23;0,029;2,108;1,67
McLachlan2005;Beach;0,24;0,025;2,056;1,46
McLachlan2005;Beach;0,26;0,023;1,934;1,3
McLachlan2005;Beach;0,14;0,026;2,868;1,48
McLachlan2005;Beach;0,14;0,028;2,795;1,61
McLachlan2005;Beach;0,16;0,026;2,65;1,48
McLachlan2005;Beach;0,17;0,023;2,542;1,34
McLachlan2005;Beach;0,22;0,02;2,177;1,16
McLachlan2005;Beach;0,24;0,02;2,08;1,12
McLachlan2005;Beach;0,24;0,018;2,04;1,04
McLachlan2005;Beach;0,26;0,018;1,954;1,04
McLachlan2005;Beach;0,3;0,017;1,738;1
McLachlan2005;Beach;0,33;0,015;1,603;0,87
McLachlan2005;Beach;0,3;0,016;1,725;0,91
McLachlan2005;Beach;0,28;0,016;1,818;0,91
McLachlan2005;Beach;0,26;0,015;1,92;0,89
McLachlan2005;Beach;0,25;0,015;1,982;0,87
McLachlan2005;Beach;0,23;0,015;2,095;0,86
McLachlan2005;Beach;0,24;0,013;2,048;0,74
McLachlan2005;Beach;0,32;0,012;1,629;0,71
McLachlan2005;Beach;0,21;0,037;2,273;2,14
Soares2003;Beach;0,37;0,2;1,434;11,31
Soares2003;Beach;0,42;0,143;1,252;8,13
Soares2003;Beach;0,61;0,143;0,713;8,13
Soares2003;Beach;0,43;0,125;1,218;7,13
Soares2003;Beach;0,28;0,111;1,837;6,34
Soares2003;Beach;0,31;0,1;1,69;5,71
Soares2003;Beach;0,59;0,071;0,761;4,09
Soares2003;Beach;0,29;0,067;1,786;3,81
Soares2003;Beach;0,3;0,05;1,737;2,86
Soares2003;Beach;0,31;0,045;1,69;2,6
Soares2003;Beach;0,18;0,027;2,474;1,55
Soares2003;Beach;0,45;0,125;1,152;7,13
Soares2003;Beach;0,72;0,125;0,474;7,13
Soares2003;Beach;0,4;0,1;1,322;5,71
Soares2003;Beach;0,36;0,083;1,474;4,76
Soares2003;Beach;0,42;0,083;1,252;4,76
Soares2003;Beach;0,47;0,077;1,089;4,4
Soares2003;Beach;0,34;0,077;1,556;4,4
Soares2003;Beach;0,35;0,077;1,515;4,4
Soares2003;Beach;0,42;0,067;1,252;3,81
Soares2003;Beach;0,22;0,029;2,184;1,68
Soares2003;Beach;0,43;0,111;1,218;6,34
Soares2003;Beach;0,41;0,077;1,286;4,4
Soares2003;Beach;0,29;0,067;1,786;3,81
Soares2003;Beach;0,36;0,056;1,474;3,18
Soares2003;Beach;0,27;0,043;1,889;2,49
Soares2003;Beach;0,2;0,033;2,322;1,91
Soares2003;Beach;0,15;0,029;2,737;1,64
Soares2003;Beach;0,15;0,025;2,737;1,43
Soares2003;Beach;0,15;0,023;2,737;1,3
Soares2003;Beach;0,13;0,018;2,943;1,04
Soares2003;Beach;0,9;0,083;0,152;4,76
Soares2003;Beach;0,53;0,083;0,916;4,76
Soares2003;Beach;0,27;0,077;1,889;4,4
Soares2003;Beach;0,23;0,05;2,12;2,86
Soares2003;Beach;0,33;0,045;1,599;2,6
Soares2003;Beach;0,23;0,04;2,12;2,29
Soares2003;Beach;0,24;0,038;2,059;2,2
Soares2003;Beach;0,24;0,037;2,059;2,12
Soares2003;Beach;0,28;0,036;1,837;2,05
Soares2003;Beach;0,23;0,031;2,12;1,79
Soares2003;Beach;0,23;0,023;2,12;1,33
Soares2003;Beach;0,6;0,125;0,737;7,13
Soares2003;Beach;0,31;0,1;1,69;5,71
Soares2003;Beach;0,2;0,091;2,322;5,19
Soares2003;Beach;0,35;0,091;1,515;5,19
Soares2003;Beach;0,28;0,059;1,837;3,37
Soares2003;Beach;0,29;0,043;1,786;2,49
Soares2003;Beach;0,2;0,038;2,322;2,2
Soares2003;Beach;0,15;0,037;2,737;2,12
Soares2003;Beach;0,25;0,03;2;1,74
Soares2003;Beach;0,16;0,028;2,644;1,59
Russo2014;Beach;1,5;0,143;-0,585;8,13
Gregory2015;Beach;13,7;0,12;-3,776;6,84
Gregory2015;Beach;17,9;0,17;-4,162;9,65
Lindley1987;Beach;1,06;0,141;-0,084;8,03
Lindley1987;Beach;2,17;0,118;-1,118;6,73
Lindley1987;Beach;0,86;0,122;0,218;6,96
Lindley1987;Beach;1,02;0,103;-0,029;5,88
Lindley1987;Beach;0,38;0,109;1,396;6,22
Mwakumanya2007;Beach;0,15;0,052;2,737;2,98
Mwakumanya2007;Beach;0,17;0,058;2,531;3,32
Mwakumanya2007;Beach;0,15;0,047;2,727;2,69
Mwakumanya2007;Beach;0,16;0,046;2,68;2,63
Mwakumanya2007;Beach;0,16;0,046;2,635;2,63
Mwakumanya2007;Beach;0,16;0,053;2,671;3,03
Mwakumanya2007;Beach;0,22;0,095;2,158;5,43
Mwakumanya2007;Beach;0,2;0,096;2,308;5,48
Mwakumanya2007;Beach;0,19;0,073;2,404;4,18
Sharma2016;Beach;0,54;0,087;0,899;4,96
Sharma2016;Beach;0,32;0,078;1,641;4,48
Sharma2016;Beach;0,52;0,056;0,942;3,18
Sharma2016;Beach;0,54;0,044;0,899;2,5
Sharma2016;Beach;0,58;0,025;0,783;1,43
Sharma2016;Beach;0,63;0,017;0,667;0,95
Sharma2016;Beach;0,47;0,015;1,1;0,84
Sharma2016;Beach;0,48;0,01;1,068;0,57
Sharma2016;Beach;0,45;0,03;1,138;1,7
Sharma2016;Beach;0,42;0,029;1,247;1,65
Sharma2016;Beach;0,45;0,023;1,16;1,31
Sharma2016;Beach;0,25;0,045;2,003;2,58
Sharma2016;Beach;0,31;0,038;1,689;2,16
Sharma2016;Beach;0,4;0,024;1,314;1,38
Sharma2016;Beach;0,38;0,024;1,39;1,37
Sharma2016;Beach;0,38;0,017;1,377;0,99
Sharma2016;Beach;0,35;0,016;1,514;0,91
Sharma2016;Beach;0,32;0,014;1,633;0,8
Sharma2016;Beach;0,2;0,033;2,316;1,87
Sharma2016;Beach;0,16;0,022;2,637;1,24
Sharma2016;Beach;0,16;0,019;2,606;1,06
Sharma2016;Beach;0,18;0,017;2,489;1
Sharma2016;Beach;0,21;0,013;2,243;0,75
Sharma2016;Beach;0,23;0,013;2,129;0,75
Sharma2016;Beach;0,25;0,015;2,013;0,84
Sharma2016;Beach;0,18;0,023;2,475;1,33
Sharma2016;Beach;0,2;0,021;2,354;1,19
Sharma2016;Beach;0,19;0,022;2,407;1,25
Sharma2016;Beach;0,2;0,022;2,316;1,25
Sharma2016;Beach;0,23;0,027;2,108;1,52
Sharma2016;Beach;0,23;0,026;2,097;1,46
Sharma2016;Beach;0,26;0,031;1,954;1,78
Sharma2016;Beach;0,31;0,03;1,705;1,71
Sharma2016;Beach;0,32;0,028;1,649;1,63
Sharma2016;Beach;0,23;0,023;2,14;1,3
Sharma2016;Beach;0,23;0,021;2,129;1,22
Sharma2016;Beach;0,22;0,019;2,185;1,11
Sharma2016;Beach;0,23;0,019;2,151;1,09
Sharma2016;Beach;0,22;0,018;2,163;1,05
Sharma2016;Beach;0,23;0,017;2,097;0,96
Sharma2016;Beach;0,25;0,017;2,024;0,99
Sharma2016;Beach;0,25;0,018;1,974;1
Sharma2016;Beach;0,24;0,019;2,065;1,1
Sharma2016;Beach;0,25;0,019;2,024;1,11
Sharma2016;Beach;0,25;0,019;1,974;1,1
Sharma2016;Beach;0,27;0,02;1,906;1,14
Sharma2016;Beach;0,29;0,019;1,798;1,1
Sharma2016;Beach;0,27;0,019;1,869;1,1
Sharma2016;Beach;0,29;0,017;1,763;0,99
Sharma2016;Beach;0,31;0,015;1,705;0,84
Sharma2016;Beach;0,25;0,023;2,013;1,31
Sharma2016;Beach;0,27;0,024;1,906;1,4
Sharma2016;Beach;0,29;0,025;1,798;1,43
Sharma2016;Beach;0,29;0,027;1,789;1,56
Sharma2016;Beach;0,31;0,025;1,705;1,45
Sharma2016;Beach;0,32;0,026;1,649;1,5
Sharma2016;Beach;0,32;0,026;1,633;1,46
Sharma2016;Beach;0,34;0,026;1,55;1,49
Sharma2016;Beach;0,32;0,024;1,641;1,36
Sharma2016;Beach;0,32;0,024;1,625;1,4
Sharma2016;Beach;0,32;0,022;1,641;1,24
Sharma2016;Beach;0,34;0,022;1,565;1,24
Sharma2016;Beach;0,34;0,017;1,55;0,98
Sharma2016;Beach;0,33;0,018;1,61;1,01
Sharma2016;Beach;0,32;0,019;1,641;1,08
Sharma2016;Beach;0,31;0,02;1,713;1,13
Sharma2016;Beach;0,3;0,02;1,755;1,15
Sharma2016;Beach;0,24;0,018;2,086;1,05
Karunarathna2012;Beach;16;0,17;-4;9,65
Karunarathna2012;Beach;0,35;0,07;1,515;4
McKay1992;Beach;68,59;0,53;-6,1;27,92
McKay1992;Beach;73,52;0,27;-6,2;15,11
McKay1992;Beach;64;0,28;-6;15,64
McKay1992;Beach;64;0,18;-6;10,2
McKay1992;Beach;84,45;0,83;-6,4;39,69
McKay1992;Beach;78,79;0,25;-6,3;14,04
McKay1992;Beach;68,59;0,19;-6,1;10,76
McKay1992;Beach;78,79;0,36;-6,3;19,8
McKay1992;Beach;103,97;0,23;-6,7;12,95
McKay1992;Beach;36,76;0,26;-5,2;14,57
McKay1992;Beach;51,98;0,07;-5,7;4
McKay1992;Beach;29,86;0,17;-4,9;9,65
McKay1992;Beach;16;0,18;-4;10,2
McKay1992;Beach;32;0,26;-5;14,57
McKay1992;Beach;18,38;0,2;-4,2;11,31
McKay1992;Beach;29,86;0,19;-4,9;10,76
McKay1992;Beach;32;0,18;-5;10,2
McKay1992;Beach;42,22;0,17;-5,4;9,65
McKay1992;Beach;29,86;0,11;-4,9;6,28
McKay1992;Beach;34,3;0,17;-5,1;9,65
McKay1992;Beach;42,22;0,17;-5,4;9,65
Souza2007;Beach;0,28;0,087;1,84;5
Souza2007;Beach;0,25;0,061;2,02;3,5
Souza2007;Beach;0,37;0,114;1,43;6,5
Souza2007;Beach;0,27;0,114;1,91;6,5
Souza2007;Beach;0,14;0,141;2,81;8
Souza2007;Beach;0,09;0,035;3,48;2
Souza2007;Beach;0,09;0,044;3,42;2,5
Souza2007;Beach;0,4;0,017;1,34;1
Souza2007;Beach;0,52;0,114;0,94;6,5
Souza2007;Beach;0,31;0,194;1,7;11
Souza2007;Beach;0,15;0,096;2,77;5,5
Souza2007;Beach;0,16;0,087;2,65;5
Souza2007;Beach;0,16;0,061;2,66;3,5
Souza2007;Beach;0,16;0,052;2,65;3
Souza2007;Beach;0,16;0,096;2,63;5,5
Souza2007;Beach;0,16;0,087;2,65;5
Souza2007;Beach;0,16;0,035;2,66;2
Wong1981;Beach;0,09;0,043;3,467;2,46
Wong1981;Beach;0,12;0,069;3,016;3,95
Wong1981;Beach;0,15;0,058;2,768;3,29
Wong1981;Beach;0,16;0,047;2,65;2,68
Wong1981;Beach;0,18;0,048;2,436;2,77
Wong1981;Beach;0,19;0,054;2,406;3,07
Wong1981;Beach;0,21;0,06;2,244;3,42
Wong1981;Beach;0,23;0,037;2,108;2,11
Wong1981;Beach;0,22;0,074;2,162;4,21
Wong1981;Beach;0,22;0,097;2,153;5,52
Wong1981;Beach;0,19;0,091;2,395;5,21
Wong1981;Beach;0,22;0,144;2,154;8,2
Wong1981;Beach;0,26;0,117;1,945;6,69
Wong1981;Beach;0,31;0,058;1,711;3,34
Wong1981;Beach;0,29;0,127;1,764;7,25
Wong1981;Beach;0,28;0,137;1,862;7,82
Wong1981;Beach;0,35;0,113;1,501;6,48
Wong1981;Beach;0,32;0,133;1,627;7,6
Wong1981;Beach;0,34;0,175;1,537;9,92
Wong1981;Beach;0,34;0,204;1,541;11,53
Wong1981;Beach;0,38;0,09;1,394;5,17
Wong1981;Beach;0,39;0,123;1,377;7,04
Wong1981;Beach;0,39;0,146;1,372;8,29
Wong1981;Beach;0,41;0,145;1,304;8,25
Wong1981;Beach;0,43;0,147;1,231;8,38
Wong1981;Beach;0,42;0,106;1,268;6,04
Wong1981;Beach;0,47;0,118;1,077;6,74
Wong1981;Beach;0,47;0,144;1,075;8,2
Wong1981;Beach;0,47;0,164;1,092;9,32
Wong1981;Beach;0,46;0,163;1,125;9,23
Wong1981;Beach;0,53;0,192;0,922;10,9
Wong1981;Beach;0,51;0,149;0,979;8,46
Wong1981;Beach;0,54;0,119;0,89;6,78
Wong1981;Beach;0,56;0,132;0,841;7,51
Wong1981;Beach;0,56;0,154;0,829;8,76
Wong1981;Beach;0,54;0,161;0,878;9,15
Wong1981;Beach;0,55;0,166;0,855;9,45
Wong1981;Beach;0,68;0,117;0,55;6,69
Wong1981;Beach;0,64;0,151;0,635;8,59
Wong1981;Beach;0,81;0,164;0,296;9,32
Wong1981;Beach;0,89;0,14;0,169;7,99
Wong1981;Beach;0,84;0,177;0,245;10,05
Wong1981;Beach;0,85;0,199;0,228;11,28
Wong1981;Beach;0,84;0,202;0,253;11,45
Anfuso2007;Beach;0,65;0,088;0,623;5,01
Anfuso2007;Beach;0,45;0,077;1,162;4,38
Anfuso2007;Beach;0,67;0,103;0,578;5,85
Anfuso2007;Beach;0,6;0,097;0,732;5,53
Anfuso2007;Beach;0,51;0,113;0,962;6,46
Anfuso2007;Beach;0,56;0,063;0,828;3,59
Anfuso2007;Beach;0,41;0,113;1,292;6,42
Anfuso2007;Beach;0,47;0,111;1,085;6,35
Anfuso2007;Beach;0,56;0,118;0,845;6,71
Anfuso2007;Beach;0,5;0,125;1,013;7,11
Anfuso2007;Beach;0,76;0,12;0,397;6,83
Anfuso2007;Beach;0,21;0,082;2,222;4,72
Anfuso2007;Beach;0,6;0,114;0,747;6,49
Anfuso2007;Beach;0,69;0,108;0,531;6,19
Anfuso2007;Beach;0,28;0,1;1,816;5,73
Anfuso2007;Beach;0,36;0,076;1,489;4,33
Anfuso2007;Beach;0,56;0,105;0,826;5,98
Dingler1981;Beach;1,57;0,044;-0,65;2,52
Dingler1981;Beach;1,41;0,15;-0,5;8,53
Dingler1981;Beach;1,74;0,1;-0,8;5,71
Dingler1981;Beach;2,64;0,13;-1,401;7,41
Dingler1981;Beach;1,52;0,147;-0,6;8,36
Dingler1981;Beach;1,74;0,127;-0,8;7,24
Dingler2002;Beach;0,32;0,037;1,645;2,14
Dingler2002;Beach;0,31;0,051;1,693;2,9
Dingler2002;Beach;0,34;0,057;1,571;3,23
Dingler2002;Beach;0,4;0,058;1,327;3,32
Dingler2002;Beach;0,55;0,081;0,872;4,62
Dingler2002;Beach;0,66;0,098;0,597;5,61
Dingler2002;Beach;0,54;0,105;0,889;6,02
Dingler2002;Beach;0,5;0,104;1,014;5,94
Dingler2002;Beach;0,39;0,123;1,357;6,99
Dingler2002;Beach;0,44;0,079;1,186;4,54
Dingler2002;Beach;0,42;0,089;1,244;5,09
Dingler2002;Beach;0,39;0,082;1,35;4,68
Dingler2002;Beach;0,38;0,086;1,384;4,91
Dingler2002;Beach;0,35;0,068;1,528;3,87
Dingler2002;Beach;0,33;0,079;1,603;4,54
Dingler2002;Beach;0,29;0,078;1,768;4,45
Dingler2002;Beach;0,98;0,149;0,023;8,47
Dingler2002;Beach;0,72;0,182;0,481;10,29
Fitzgerald2013;Beach;0,28;0,01;1,834;0,59
Fitzgerald2013;Beach;0,41;0,03;1,277;1,69
Fitzgerald2013;Beach;1,13;0,093;-0,18;5,31
Fitzgerald2013;Beach;1,71;0,086;-0,774;4,93
Fitzgerald2013;Beach;2,13;0,099;-1,094;5,66
Fitzgerald2013;Beach;2,32;0,116;-1,212;6,6
Fitzgerald2013;Beach;2,56;0,12;-1,354;6,86
Fitzgerald2013;Beach;1,61;0,148;-0,688;8,4
Fitzgerald2013;Beach;3,61;0,14;-1,852;7,99
Fitzgerald2013;Beach;3,96;0,117;-1,984;6,65
Fitzgerald2013;Beach;4,26;0,09;-2,092;5,14
Fitzgerald2013;Beach;4,33;0,085;-2,116;4,83
Fitzgerald2013;Beach;11,27;0,067;-3,494;3,83
Fitzgerald2013;Beach;29,52;0,057;-4,884;3,24
Fitzgerald2013;Beach;10,37;0,099;-3,374;5,67
Fitzgerald2013;Beach;27,59;0,109;-4,786;6,21
Fitzgerald2013;Beach;9,31;0,119;-3,218;6,78
Fitzgerald2013;Beach;20,67;0,131;-4,37;7,48
Fitzgerald2013;Beach;6,01;0,16;-2,587;9,09
Fitzgerald2013;Beach;8,55;0,19;-3,096;10,77
Fitzgerald2013;Beach;15,85;0,19;-3,987;10,78
Fitzgerald2013;Beach;48,24;0,142;-5,592;8,09
Fitzgerald2013;Beach;36,67;0,22;-5,197;12,4
Fitzgerald2013;Beach;36,94;0,249;-5,207;14,01
Perez-Alberti2012;Beach;600;0,149;-9,229;8,45
Perez-Alberti2012;Beach;650;0,133;-9,344;7,56
Perez-Alberti2012;Beach;590;0,212;-9,205;11,95
Perez-Alberti2012;Beach;635;0,227;-9,311;12,8
Perez-Alberti2012;Beach;685;0,168;-9,42;9,53
Perez-Alberti2012;Beach;695;0,18;-9,441;10,18
Perez-Alberti2012;Beach;500;0,26;-8,966;14,58
Almeida2014;Beach;50;0,21;-5,644;11,86
Almeida2014;Beach;3;0,11;-1,585;6,28
Almeida2014;Beach;16;0,11;-4;6,28
Lopez2016;Beach;9,31;0,086;-3,219;4,92
Lopez2016;Beach;1,73;0,1;-0,791;5,71
Lopez2016;Beach;31,94;0,19;-4,997;10,76
Lopez2016;Beach;14,45;0,22;-3,853;12,41
Lopez2016;Beach;26,91;0,16;-4,75;9,09
Yang2016;Beach;0,19;0,05;2,423;2,85
Yang2016;Beach;0,19;0,049;2,377;2,8
Yang2016;Beach;0,19;0,027;2,373;1,54
Yang2016;Beach;0,24;0,027;2,077;1,54
Yang2016;Beach;0,24;0,028;2,065;1,62
Yang2016;Beach;0,23;0,029;2,102;1,64
Yang2016;Beach;0,23;0,033;2,133;1,87
Yang2016;Beach;0,22;0,032;2,211;1,84
Yang2016;Beach;0,22;0,043;2,215;2,44
Yang2016;Beach;0,23;0,036;2,114;2,05
Yang2016;Beach;0,24;0,036;2,053;2,05
Yang2016;Beach;0,24;0,039;2,053;2,24
Yang2016;Beach;0,24;0,04;2,033;2,29
Yang2016;Beach;0,25;0,036;1,983;2,04
Yang2016;Beach;0,25;0,037;1,972;2,12
Yang2016;Beach;0,25;0,045;1,978;2,57
Yang2016;Beach;0,22;0,055;2,166;3,12
Yang2016;Beach;0,23;0,062;2,103;3,54
Yang2016;Beach;0,24;0,059;2,03;3,35
Yang2016;Beach;0,25;0,059;1,972;3,37
Yang2016;Beach;0,27;0,05;1,895;2,84
Yang2016;Beach;0,27;0,057;1,879;3,26
Yang2016;Beach;0,28;0,049;1,812;2,81
Yang2016;Beach;0,29;0,054;1,792;3,07
Yang2016;Beach;0,3;0,053;1,755;3,04
Yang2016;Beach;0,3;0,045;1,755;2,56
Yang2016;Beach;0,29;0,041;1,782;2,32
Yang2016;Beach;0,29;0,038;1,762;2,19
Yang2016;Beach;0,3;0,037;1,738;2,14
Yang2016;Beach;0,27;0,04;1,871;2,31
Yang2016;Beach;0,28;0,032;1,853;1,86
Yang2016;Beach;0,29;0,031;1,784;1,76
Yang2016;Beach;0,3;0,029;1,747;1,66
Yang2016;Beach;0,29;0,024;1,789;1,37
Yang2016;Beach;0,29;0,024;1,767;1,39
Yang2016;Beach;0,3;0,021;1,726;1,22
Yang2016;Beach;0,25;0,074;1,976;4,25
Yang2016;Beach;0,24;0,094;2,054;5,36
Yang2016;Beach;0,27;0,081;1,909;4,62
Yang2016;Beach;0,28;0,08;1,835;4,6
Yang2016;Beach;0,29;0,083;1,778;4,72
Yang2016;Beach;0,26;0,095;1,923;5,43
Yang2016;Beach;0,27;0,098;1,896;5,58
Yang2016;Beach;0,33;0,022;1,603;1,24
Yang2016;Beach;0,32;0,026;1,623;1,51
Yang2016;Beach;0,3;0,167;1,737;9,48
Yang2016;Beach;0,3;0,131;1,73;7,47
Yang2016;Beach;0,33;0,129;1,587;7,34
Yang2016;Beach;0,31;0,114;1,669;6,49
Yang2016;Beach;0,3;0,111;1,756;6,32
Yang2016;Beach;0,31;0,095;1,673;5,43
Yang2016;Beach;0,3;0,073;1,748;4,19
Yang2016;Beach;0,29;0,071;1,787;4,05
Yang2016;Beach;0,3;0,07;1,758;3,99
Yang2016;Beach;0,3;0,071;1,715;4,04
Yang2016;Beach;0,3;0,072;1,715;4,12
Yang2016;Beach;0,31;0,061;1,7;3,51
Yang2016;Beach;0,31;0,037;1,679;2,12
Yang2016;Beach;0,35;0,019;1,516;1,09
Yang2016;Beach;0,37;0,028;1,426;1,59
Yang2016;Beach;0,34;0,026;1,541;1,51
Yang2016;Beach;0,34;0,034;1,545;1,94
Yang2016;Beach;0,32;0,039;1,638;2,24
Yang2016;Beach;0,33;0,04;1,607;2,31
Yang2016;Beach;0,33;0,044;1,588;2,51
Yang2016;Beach;0,33;0,05;1,586;2,86
Yang2016;Beach;0,33;0,054;1,588;3,07
Yang2016;Beach;0,34;0,049;1,537;2,79
Yang2016;Beach;0,35;0,065;1,527;3,72
Yang2016;Beach;0,33;0,064;1,581;3,64
Yang2016;Beach;0,32;0,076;1,625;4,34
Yang2016;Beach;0,33;0,085;1,619;4,84
Yang2016;Beach;0,34;0,083;1,546;4,77
Yang2016;Beach;0,35;0,086;1,531;4,9
Yang2016;Beach;0,42;0,051;1,269;2,91
Yang2016;Beach;0,4;0,049;1,32;2,81
Yang2016;Beach;0,4;0,055;1,306;3,13
Yang2016;Beach;0,41;0,058;1,271;3,34
Yang2016;Beach;0,39;0,05;1,377;2,88
Yang2016;Beach;0,38;0,057;1,39;3,24
Yang2016;Beach;0,37;0,056;1,417;3,21
Yang2016;Beach;0,37;0,061;1,432;3,48
Yang2016;Beach;0,4;0,068;1,34;3,88
Yang2016;Beach;0,39;0,068;1,36;3,88
Yang2016;Beach;0,39;0,069;1,371;3,93
Yang2016;Beach;0,38;0,069;1,379;3,97
Yang2016;Beach;0,38;0,071;1,386;4,07
Yang2016;Beach;0,37;0,079;1,419;4,54
Yang2016;Beach;0,37;0,085;1,423;4,87
Yang2016;Beach;0,37;0,09;1,417;5,17
Yang2016;Beach;0,35;0,076;1,525;4,36
Yang2016;Beach;0,37;0,105;1,448;5,98
Yang2016;Beach;0,36;0,112;1,46;6,41
Yang2016;Beach;0,39;0,079;1,372;4,54
Yang2016;Beach;0,39;0,081;1,351;4,66
Yang2016;Beach;0,4;0,08;1,318;4,57
Yang2016;Beach;0,41;0,072;1,292;4,14
Yang2016;Beach;0,42;0,07;1,236;3,98
Yang2016;Beach;0,43;0,071;1,205;4,08
